A22J,牧場物語 ふたごの村+
UBSJ,Famicom Tantei Club Part II - Ushiro ni Tatsu Shojo
UBTJ,Densetsu no Ogre Battle
CALP,Lifespeed
CBRP,The Binding of Isaac: Rebirth
CFAP,Silver Falls - 3 Down Stars
TA2J,VC ファイアーエムブレム 暗黒竜と光の剣
TA3E,Blaster Master
TA3J,超惑星戦記メタファイト
TA3P,Blaster Master
TA4E,Ghosts'n Goblins
TA4J,魔界村
TA4P,GHOSTS'N GOBLINS
TA5E,Mega Man 2
TA5J,ロックマン2 Dr.ワイリーの謎
TA5P,Mega Man 2
TA6E,PAC-MAN
TA6J,パックマン
TA6P,PAC-MAN
TA8E,Castlevania
TA8J,悪魔城ドラキュラ
TA8P,Castlevania
TA9E,DIG DUG
TA9J,ディグダグ
TA9P,Dig Dug
TAAE,Super Mario Bros.
TAAJ,スーパーマリオブラザーズ
TAAP,Super Mario Bros.
TABE,Super Mario Bros. 3
TABJ,スーパーマリオブラザーズ3
TABP,Super Mario Bros. 3
TACE,Punch-Out!! Featuring Mr. Dream
TACJ,パンチアウト
TACP,Punch-Out!!
TADE,Metroid
TADJ,メトロイド
TADP,Metroid
TAEE,The Legend of Zelda
TAEJ,ゼルダの伝説1
TAEP,The Legend of Zelda
TAFP,Donkey Kong Original Edition
TAGE,Wrecking Crew
TAGJ,レッキングクルー
TAGP,Wrecking Crew
TAHE,NES Open Tournament Golf
TAHJ,マリオオープンゴルフ
TAHP,NES Open Tournament Golf
TAKE,Donkey Kong Jr.
TAKJ,ドンキーコングJR.
TAKP,Donkey Kong Jr.
TALE,Balloon Fight
TALJ,バルーンファイト
TALP,Balloon Fight
TAME,Ice Climber
TAMJ,アイスクライマー
TAMP,Ice Climber
TANE,Zelda II - The Adventure of Link
TANJ,リンクの冒険
TANP,Zelda II: The Adventure of Link
TARE,Yoshi
TARJ,ヨッシーのたまご
TARP,Mario & Yoshi
TASE,Wario's Woods
TASJ,ワリオの森
TASP,Wario's Woods
TATE,Super Mario Bros. - The Lost Levels
TATJ,スーパーマリオブラザーズ2
TATP,Super Mario Bros.: The Lost Levels
TAUE,Mighty Bomb Jack
TAUJ,マイティボンジャック
TAUP,MIGHTY BOMB JACK
TAVE,Summer Carnival '92 RECCA
TAVJ,サマーカーニバル'92 烈火
TAVP,Summer Carnival '92 RECCA
TAWE,Mega Man
TAWJ,ロックマン
TAWP,Mega Man
TAXE,Ninja Gaiden
TAXJ,忍者龍剣伝
TAXP,Ninja Gaiden
TAYJ,グラディウス
TAYP,Gradius
TAZJ,サラダの国のトマト姫
TB2J,月風魔伝
TB3J,いっき
TB4E,Donkey Kong 3
TB4J,ドンキーコング3
TB4P,Donkey Kong 3
TB5J,ファミコン探偵倶楽部 消えた後継者(前後編)
TB6E,Crash 'n the Boys Street Challenge
TB6J,びっくり熱血新記録! はるかなる金メダル
TB6P,Crash'n the Boys Street Challenge
TB7E,Mario Bros
TB7J,マリオブラザーズ
TB7P,Mario Bros.
TB8J,ファミコン探偵倶楽部 PARTⅡ うしろに立つ少女(前後編)
TB9E,Super Dodge Ball
TB9J,熱血高校ドッジボール部
TB9P,Super Dodge Ball
TBAE,Super C
TBAJ,SUPER魂斗羅
TBAP,Super C
TBBE,Tecmo Bowl
TBCE,Mega Man 3
TBCJ,ロックマン3 Dr.ワイリーの最期!?
TBCP,Mega Man 3
TBDE,Mega Man 4
TBDJ,ロックマン4 新たなる野望!!
TBDP,Mega Man 4
TBEE,Mega Man 5
TBEJ,ロックマン5 ブルースの罠!?
TBEP,Mega Man 5
TBFE,Mega Man VI
TBFJ,ロックマン6 史上最大の戦い!!
TBFP,Mega Man 6
TBGJ,忍者じゃじゃ丸くん
TBHE,River City Ransom
TBHJ,ダウンタウン熱血物語
TBHP,Street Gangs
TBJE,Donkey Kong
TBJJ,ドンキーコング
TBJP,Donkey Kong
TBKE,Ninja Gaiden II: The Dark Sword of Chaos
TBKP,Ninja Gaiden II: The Dark Sword of Chaos
TBLE,Star Soldier
TBLJ,スターソルジャー
TBLP,Star Soldier
TBME,Super Mario Bros. 2
TBMJ,スーパーマリオUSA
TBMP,Super Mario Bros. 2
TBNE,Spelunker
TBNJ,スペランカー
TBNP,Spelunker
TBPE,Solomon's Key
TBPJ,ソロモンの鍵
TBPP,Solomon's Key
TBQJ,ドルアーガの塔
TBRE,Ninja Gaiden III: The Ancient Ship of Doom
TBRP,Ninja Gaiden III: The Ancient Ship of Doom
TBSE,Castlevania III: Dracula's Curse
TBSP,Castlevania III: Dracula's Curse
TBTJ,メタルマックス
TBUE,City Connection
TBUJ,シティコネクション
TBUP,City Connection
TBVJ,マドゥーラの翼
TBWE,Milon's Secret Castle
TBWJ,迷宮組曲 ミロンの大冒険
TBWP,Milon´s Secret Castle
TBXJ,ファミコンウォーズ
TBYE,Double Dragon
TBYJ,ダブルドラゴン
TBYP,Double Dragon
TBZE,Life Force
TBZJ,沙羅曼蛇
TBZP,Life Force
TC2J,イー･アル･カンフー
TC3E,Double Dragon II: The Revenge
TC3J,ダブルドラゴンⅡ The Revenge
TC3P,Double Dragon II: The Revenge
TC4J,いけいけ!熱血ホッケー部 「すべってころんで大乱闘」
TC5J,ダウンタウンスペシャル くにおくんの時代劇だよ全員集合!
TC6J,ダウンタウン熱血行進曲 それゆけ大運動会
TC7J,つっぱり大相撲
TC8E,Mach Rider
TC8J,マッハライダー
TC8P,Mach Rider
TC9J,へべれけ
TCAJ,すごろクエスト ダイスの戦士たち
TCBE,Castlevania II: Simon's Quest
TCBJ,ドラキュラⅡ 呪いの封印
TCBP,Castlevania Ⅱ Simon's Quest
TCCJ,チャレンジャー
TCDJ,ドラゴンバスター
TCGJ,ファイアーエムブレム 外伝
TCHJ,デビルワールド
TCHP,Devil World
TCJJ,がんばれゴエモン!からくり道中
TCKE,Adventure Island II
TCKJ,高橋名人の冒険島Ⅱ
TCKP,Adventure Island II
TCLE,Renegade
TCLJ,熱血硬派くにおくん
TCLP,Renegade
TCNJ,フィールドコンバット
TCPE,Sky Kid
TCPJ,スカイキッド
TCQJ,リップルアイランド
TCRE,Clu Clu Land
TCRJ,クルクルランド
TCRP,Clu Clu Land
TCSJ,がんばれゴエモン2
TCTJ,がんばれゴエモン外伝 きえた黄金キセル
TCUE,Galaga
TCUJ,ギャラガ
TCUP,Galaga
TCVJ,熱血高校ドッジボール部 サッカー編
TCWJ,エスパードリーム
TCXE,Bases Loaded
TCXJ,燃えろ!!プロ野球
TCYJ,ふぁみこんむかし話 新･鬼ヶ島(前後編)
TCZE,The Mysterious Murasame Castle
TCZJ,謎の村雨城
TCZP,The Mysterious Murasame Castle
TD2J,Chack'n Pop
TD3E,Adventures of Lolo
TD3J,アドベンチャーズ オブ ロロ
TD3P,Adventures of Lolo
TD4J,シャドウゲイト
TD5E,Shadow of the Ninja
TD5P,Shadow of the Ninja
TD6E,S.C.A.T.
TD6P,S.C.A.T.
TDAJ,バイナリィランド
TDBJ,ナッツ&ミルク
TDCJ,けっきょく南極大冒険
TDDJ,ワルキューレの冒険 時の鍵伝説
TDEJ,スターラスター
TDFJ,バトルシティー
TDGJ,ジョイメカファイト
TDHJ,SDガンダムワールド ガチャポン 戦士 スクランブルウォーズ
TDJJ,マッピー
TDKJ,かんしゃく玉なげカン太郎の 東海道五十三次
TDLJ,アトランチスの謎
TDME,Mighty Final Fight
TDMJ,マイティファイナルファイト
TDMP,Mighty Final Fight
TDNE,Gargoyle's Quest II: The Demon Darkness
TDNJ,レッドアリーマーⅡ
TDNP,Gargoyle's Quest II: The Demon Darkness
TDPJ,ファイナルファンタジー
TDQJ,ファイナルファンタジーII
TDRJ,半熟英雄
TDSJ,ELEVATOR ACTION
TDTJ,BUBBLE BOBBLE
TDUJ,FRONT LINE
TDVJ,ファイナルファンタジーIII
TDWE,Street Fighter 2010: The Final Fight
TDWJ,2010 ストリートファイター
TDWP,Street Fighter 2010: The Final Fight
TDXJ,バイオミラクル ぼくってウパ
TDYJ,キングスナイト
TDZJ,影の伝説
RA2J,高橋名人の冒険島Ⅱ
RA2P,ADVENTURE ISLAND
RA3E,Donkey Kong Land
RA3J,スーパードンキーコングGB
RA3P,Donkey Kong Land
RA4J,メトロイドⅡ RETURN OF SAMUS
RA4P,Metroid II - Return of Samus
RA5J,ドクターマリオ
RA5P,Dr. Mario
RA6J,バーガータイムデラックス
RA6P,Burger Time DELUXE
RA7J,サイドポケット
RA7P,Side Pocket
RA8J,ヘラクレスの栄光 動き出した神々
RA9J,ZOIDS ゾイド伝説
RAAJ,スーパーマリオランド
RAAP,Super Mario Land
RABJ,ベースボール
RABP,Baseball
RACJ,アレイウェイ
RACP,Alleyway
RADJ,テニス
RADP,Tennis
RAEE,QIX
RAEJ,クイックス
RAEP,QIX
RAFJ,星のカービィ
RAFP,Kirby's Dream Land
RAGJ,スーパーマリオランド2 6つの金貨
RAGP,Super Mario Land 2: 6 Golden Coins
RAHJ,ドンキーコング
RAHP,Donkey Kong
RAJJ,マリオのピクロス
RAJP,Mario's Picross
RAKJ,ゲームボーイギャラリー
RAKP,Game & Watch Gallery
RALJ,ゴルフ
RALP,Golf
RAMJ,レーダーミッション
RAMP,Radar Mission
RANJ,カエルの為に鐘は鳴る
RAQJ,怒りの要塞
RAQP,Fortified Zone
RARJ,ファンタズム
RARP,Avenging Spirit
RASJ,ダウンタウンスペシャル くにおくんの時代劇だよ全員集合!
RATJ,熱血高校ドッジボール部 ～強敵!闘球戦士の巻～
RAUJ,ダブルドラゴン
RAUP,Double Dragon
RAVJ,びっくり熱血新記録! どこでも金メダル
RAWE,Mega Man - Dr. Wily's Revenge
RAWJ,ロックマンワールド
RAWP,Mega Man: Dr. Wily's Revenge
RAXE,Gargoyle's Quest
RAXJ,レッドアリーマー MAKAIMURA GAIDEN
RAXP,Gargoyle's Quest
RAYJ,PITMAN
RAYP,CATRAP
RAZJ,パックマン
RAZP,PAC-MAN
RB2J,ダウンタウン熱血行進曲 どこでも大運動会
RB3J,ボンバーマンGB3
RB4J,がんばれゴエモン さらわれたエビス丸
RB5J,ピクロス2
RB6J,ツインビーだ!!
RB7E,Mole Mania
RB7J,モグラ～ニャ
RB7P,Mole Mania
RB8J,ネコジャラ物語
RB9J,プリプリ PRIMITIVE PRINCESS!
RBAE,Wario Land:  Super Mario Land 3
RBAJ,スーパーマリオランド3 ワリオランド
RBAP,Wario Land: Super Mario Land 3
RBCJ,トリップワールド
RBCP,Trip World
RBDJ,BIONIC COMMANDO
RBDP,BIONIC COMMANDO
RBEP,Balloon Kid
RBFJ,おいらじゃじゃ丸!世界大冒険
RBGJ,ロックンチェイス
RBGP,LOCK’N CHASE
RBHJ,熱血!ビーチバレーだよ くにおくん
RBJJ,セレクション 選ばれし者
RBKE,Kirby's Block Ball
RBKJ,カービィのブロックボール
RBKP,Kirby's Block Ball
RBLE,Kid Icarus Of Myths and Monsters
RBLJ,Kid Icarus: Of Myths and Monsters
RBLP,Kid Icarus Of Myths And Monsters
RBMJ,怒りの要塞2
RBNE,Kirby's Dream Land 2
RBNJ,星のカービィ 2
RBNP,Kirby's Dream Land 2
RBPE,Castlevania: The Adventure
RBPJ,ドラキュラ伝説
RBPP,Castlevania The Adventure
RBQE,Quarth
RBQJ,クォース
RBRE,MYSTICAL NINJA starring GOEMON
RBRJ,がんばれゴエモン 黒船党の謎
RBRP,MYSTICAL NINJA starring GOEMON
RBTJ,ゲームボーイギャラリー2
RBUE,Tumble Pop
RBUJ,タンブルポップ
RBUP,Tumble Pop
RBVE,The Sword of Hope II
RBVJ,セレクションⅡ 暗黒の封印
RBVP,The Sword of Hope II
RBYE,Kirby's Star Stacker
RBYJ,カービィのきらきらきっず
RBYP,Kirby's Star Stacker
RBZE,Kirby's Pinball Land
RBZJ,カービィのピンボール
RBZP,Kirby's Pinball Land
RCAJ,熱血高校サッカー部 ワールドカップ編
RCBJ,熱血硬派くにおくん 番外乱闘編
RCCE,Pinball: Revenge of the Gator
RCCJ,ピンボール66匹のワニ大行進
RCCP,Pinball: Revenge of the Gator
RCDE,Mega Man II
RCDJ,ロックマンワールド2
RCDP,Mega Man 2
RCEE,Mega Man III
RCEJ,ロックマンワールド3
RCEP,Mega Man 3
RCFE,Mega Man IV
RCFJ,ロックマンワールド4
RCFP,Mega Man 4
RCGE,Mega Man V
RCGJ,ロックマンワールド5
RCGP,Mega Man 5
RCHJ,ヨッシーのパネポン
RCJE,Donkey Kong Land 2
RCJJ,ドンキーコングランド
RCJP,Donkey Kong Land 2
RCKE,Donkey Kong Land III
RCKP,Donkey Kong Land III
RCQA,Pokémon Red Version
RCRA,Pokémon Blue Version
RCSA,Pokémon Rote Edition
RCTA,Pokémon Blaue Edition
RCUA,Pokémon Version Rouge
RCVA,Pokémon Version Bleue
RCWA,Pokémon Edición Roja
RCXA,Pokémon Edición Azul
RCYA,Pokémon Versione Rossa
RCZA,Pokémon Versione Blu
SAAE,3D Classics - Kid Icarus
SAAJ,3Dクラシックス 光神話 パルテナの鏡
SAAP,3D Classics - Kid Icarus
SABE,3D Classics - Xevious
SABJ,3Dクラシックス ゼビウス
SABP,3D Classics - Xevious
SACE,3D Classics - TwinBee
SACJ,3Dクラシックス ツインビー
SACP,3D Classics TwinBee
SADE,3D Classics Urban Champion
SADJ,3Dクラシックス アーバンチャンピオン
SADP,3D Classics Urban Champion
SAEE,3D Classics - Excitebike
SAEJ,3Dクラシックス エキサイトバイク
SAEP,3D Classics - Excitebike
SAFE,3D Classics: Kirby's Adventure
SAFJ,3Dクラシックス 星のカービィ 夢の泉の物語
SAFP,3D Classics - Kirby's Adventure
SN4E,Kid Icarus: Uprising Montage
SN8E,Donkey Kong Country Returns 3D Nintendo Direct 2.14.2013
SP5E,The Legend of Zelda Ballad of The Goddess
SP6E,The Legend of Zelda Main Theme Medley
SP7E,The Legend of Zelda Great Fairy's Fountain Theme
SPCE,The Legend of Zelda: A Link Between Worlds Trailer
SQHE,Metroid: Samus Returns Announcement Trailer
SQLE,Games to Play on Halloween!
SZMP,The Legend of Zelda: Majora's Mask 3D: Trailer
QA2E,Mega Man Xtreme 2
QA2J,ロックマンX2 ソウルイレイザー
QA2P,Mega Man Xtreme 2
QA4E,Xtreme Sports
QA4P,Xtreme Sports
QA5E,Super Mario Bros. Deluxe
QA5J,Super Mario Bros. Deluxe
QA5P,Super Mario Bros. Deluxe
QA6E,Game & Watch Gallery 3
QA6P,Game & Watch Gallery 3
QA7E,Harvest Moon 2 GBC
QA8E,Harvest Moon 3 GBC
QA9E,Legend of the River King 2
QA9P,Legend of the River King 2
QAAJ,ゼルダの伝説 夢をみる島DX
QAAP,The Legend of Zelda: Link's Awakening
QABJ,トレード&バトル カードヒーロー
QACE,The Legend of Zelda: Oracle of Seasons
QACJ,ゼルダの伝説 ふしぎの木の実 大地の章
QACP,The Legend of Zelda: Oracle of Seasons
QADE,The Legend of Zelda: Oracle of Ages
QADJ,ゼルダの伝説 ふしぎの木の実 時空の章
QADP,The Legend of Zelda: Oracle of Ages
QAEJ,メタファイトEX
QAEP,Blaster Master Enemy Below
QAFJ,バルーンファイトGB
QAGP,Prince of Persia
QAJE,Wario Land II
QAJJ,ワリオランド2 盗まれた財宝
QAJP,Wario Land II
QAKE,Game & Watch Gallery 2
QAKP,Game & Watch Gallery 2
QALE,Rayman
QALJ,レイマン ミスター･ダークの罠
QALP,Rayman
QAMJ,コトバトル 天外の守人
QANJ,女神転生外伝ラストバイブル
QAPE,Wario Land 3
QAPJ,ワリオランド3 不思議なオルゴール
QAPP,Wario Land 3
QAQJ,マリオゴルフGB
QAQP,Mario Golf
QARE,Toki Tori
QARP,Toki Tori
QASE,Harvest Moon
QASP,Harvest Moon GBC
QATE,Legend of the River King
QATP,Legend of the River King
QAUJ,女神転生外伝ラストバイブルⅡ
QAVE,Shantae
QAVP,Shantae
QAWE,Mario Tennis
QAWJ,マリオテニスGB
QAWP,Mario Tennis
QAXJ,真･女神転生デビルチルドレン 黒の書
QAYJ,真･女神転生デビルチルドレン 赤の書
QAZE,Mega Man Xtreme
QAZJ,ロックマンX サイバーミッション
QAZP,Mega Man Xtreme
QB2A,Pokémon Edición Cristal
QB3A,Pokémon Versione Oro
QB4A,Pokémon Versione Argento
QB5A,Pokémon Versione Cristallo
QBAE,Pokémon Puzzle Challenge
QBAP,Pokémon Puzzle Challenge
QBBE,Pokémon Trading Card Game
QBBJ,ポケモンカードGB
QBBP,Pokémon Trading Card Game
QBCJ,ドンキーコングGB ディンキー コング&ディクシーコング
QBDE,Bionic Commando: Elite Forces
QBDP,Bionic Commando: Elite Forces
QBEE,Lufia: The Legend Returns
QBEP,Lufia: The Legend Returns
QBFA,Pokémon Yellow Version
QBGA,Pokémon Gelbe Edition
QBHA,Pokémon Version Jaune
QBJA,Pokémon Edición Amarilla
QBKA,Pokémon Versione Gialla
QBLA,Pocket Monsters Kin
QBMA,Pocket Monsters Gin
QBNA,Pokemon Crystal
QBPA,Pokémon Gold Version
QBQA,Pokémon Silver Version
QBRA,Pokémon Crystal Version
QBSA,Pokémon - Gotta catch 'em all! - Gold Version
QBTA,Pokémon: Gotta catch 'em all! - Silver Version
QBUA,Pokémon - Kristall-Edition
QBVA,Pokémon Version Or
QBWA,Pokémon Version Argent
QBXA,Pokémon Version Cristal
QBYA,Pokémon Edición Oro
QBZA,Pokémon Edición Plata
PAAE,F-Zero - Maximum Velocity
PAAJ,F-Zero for Game Boy Advance
PAAP,F-Zero: Maximum Velocity
PABE,Mario Kart - Super Circuit
PABJ,Mario Kart Advance
PABP,Mario Kart: Super Circuit
PACE,Wario Land 4
PACJ,Wario Land Advance - Youki no Otakara
PACP,Wario Land 4
PADE,Yoshi's Island - Super Mario Advance 3
PADJ,Super Mario Advance 3 - Yoshi's Island + Mario Brothers
PADP,Yoshi's Island: Super Mario Advance 3
PAEE,Metroid Fusion
PAEJ,Metroid Fusion
PAEP,Metroid Fusion
PAFE,WarioWare, Inc. - Mega Microgame$!
PAFJ,Made in Wario
PAFP,Wario Ware, Inc.: Minigame Mania
PAGE,Kirby & the Amazing Mirror
PAGJ,Hoshi no Kirby - Kagami no Daimeikyuu
PAGP,Kirby & The Amazing Mirror
PAHE,Mario vs. Donkey Kong
PAHJ,Mario vs. Donkey Kong
PAHP,Mario vs. Donkey Kong
PAJE,Fire Emblem - The Sacred Stones
PAJJ,Fire Emblem - Seima no Kouseki
PAJP,Fire Emblem: The Sacred Stones
PAKE,The Legend of Zelda - The Minish Cap
PAKJ,Zelda no Densetsu - Fushigi no Boushi
PAKP,The Legend of Zelda: The Minish Cap
GA4J,なぞぷよ
GA5J,シャイニング･フォース外伝I 遠征･邪神の国へ
GA6J,なぞぷよ2
GA7J,なぞぷよ アルルのルー
GA8J,ぷよぷよ通
GA9J,シャイニング･フォース外伝 ファイナルコンフリクト
GAAE,Sonic the Hedgehog: Triple Trouble
GAAJ,ソニック&テイルス2
GAAP,Sonic the Hedgehog: Triple Trouble
GABE,Dragon Crystal
GABJ,ドラゴンクリスタル ツラニの迷宮
GABP,Dragon Crystal
GACE,Shinobi
GACJ,The GG 忍
GACP,Shinobi
GADE,Sonic Drift 2
GADJ,ソニックドリフト2
GADP,Sonic Drift 2
GAEE,Columns
GAEJ,コラムス
GAEP,Columns
GAFE,Sonic Labyrinth
GAFJ,ソニックラビリンス
GAFP,Sonic Labyrinth
GAGE,Sonic Blast
GAGJ,Gソニック
GAGP,Sonic Blast
GAJE,Defenders of Oasis
GAJJ,シャダム･クルセイダー  遥かなる王国
GAJP,Defenders of Oasis
GANE,Crystal Warriors
GANJ,アーリエル クリスタル伝説
GANP,Crystal Warriors
GAPE,G-LOC Air Battle
GAPJ,G-LOC AIR BATTLE
GAPP,G-LOC: Air Battle
GAQE,Vampire Master of Darkness
GAQJ,IN THE WAKE OF VAMPIRE
GAQP,Vampire: Master of Darkness
GARE,Dr. Robotnik's Mean Bean Machine
GARJ,ぷよぷよ
GARP,Dr. Robotnik's Mean Bean Machine
GASE,Shining Force: Sword of Hajya
GASJ,シャイニング･フォース外伝Ⅱ 邪神の覚醒
GASP,Shining Force: The Sword of Hajya
GATE,Sonic the Hedgehog
GATJ,ソニック･ザ･ヘッジホッグ
GATP,Sonic the Hedgehog
GAUE,Sonic The Hedgehog 2
GAUJ,ソニック･ザ･ヘッジホッグ2
GAUP,Sonic the Hedgehog 2
GAVE,Tails Adventure
GAVJ,テイルスアドベンチャー
GAVP,Tails Adventure
DDLC,Doki Doki Literature Club
3HSA,hShop
CFBI,FBI
UNIV,Universal Manager
UVUP,Universal-Updater
